;Команда;2-очк;;;3-очк;;;2+3-очк;;;штр з;штр б;штр %;Пд ч;Пд с;Пд в;РП;Ф иг;Ф на;Пт;Пх;Бш иг;Бш на;Эфф;пропуск;пропуск;разн;пропуск;пропуск;Турнир;пропуск;Очки;Сезон
47;28;12;30;40;11;29;37.93103448;23;59;38.98305085;7;13;53.84615385;13;15;28;16;26;21;8;3;1;3;54;64;73;-9;30;72;2;29;64;17
48;17;18;34;52.94117647;16;21;76.19047619;34;55;61.81818182;12;20;60;3;27;30;30;23;21;13;9;4;0;127;96;85;11;46;75;1;19;96;17
49;5;17;29;58.62068966;12;31;38.70967742;29;60;48.33333333;12;14;85.71428571;10;19;29;24;19;20;15;10;2;1;99;82;86;-4;41;74;2;30;82;17
50;24;26;35;74.28571429;6;20;30;32;55;58.18181818;20;25;80;6;29;35;21;20;22;17;6;4;0;111;90;87;3;52;80;1;20;90;17
51;29;14;32;43.75;13;26;50;27;58;46.55172414;15;26;57.69230769;12;20;32;20;21;21;6;8;3;4;97;82;79;3;42;84;1;21;82;17
52;31;19;31;61.29032258;14;36;38.88888889;33;67;49.25373134;15;20;75;11;14;25;19;33;23;11;4;6;3;86;95;98;-3;48;87;2;31;95;17
53;31;13;30;43.33333333;13;30;43.33333333;26;60;43.33333333;19;22;86.36363636;12;23;35;16;22;21;14;4;2;3;86;84;89;-5;45;82;2;32;84;17
54;31;20;36;55.55555556;7;22;31.81818182;27;58;46.55172414;18;23;78.26086957;4;28;32;13;23;23;14;10;5;2;87;79;73;6;45;81;2;33;79;17
55;31;16;25;64;12;28;42.85714286;28;53;52.83018868;20;27;74.07407407;9;23;32;19;27;26;17;6;5;1;99;88;89;-1;48;80;2;34;88;17
56;1;20;33;60.60606061;13;29;44.82758621;33;62;53.22580645;13;14;92.85714286;5;21;26;22;25;16;16;5;3;1;102;92;104;-12;46;76;1;22;92;17
57;18;17;30;56.66666667;10;32;31.25;27;62;43.5483871;19;29;65.51724138;10;19;29;23;29;24;12;12;2;2;92;83;90;-7;46;91;1;23;83;17
58;14;15;33;45.45454545;12;25;48;27;58;46.55172414;23;28;82.14285714;9;18;27;21;20;25;12;8;3;5;100;89;84;5;50;86;1;24;89;17
59;18;13;21;61.9047619;13;33;39.39393939;26;54;48.14814815;14;19;73.68421053;8;26;34;16;21;23;14;7;5;0;94;79;66;13;40;73;1;25;79;17
60;18;15;25;60;9;30;30;24;55;43.63636364;20;25;80;10;26;36;16;24;29;12;8;2;1;91;77;72;5;44;80;1;26;77;17
61;18;10;22;45.45454545;14;32;43.75;24;54;44.44444444;24;29;82.75862069;10;25;35;16;28;29;10;8;6;0;106;86;73;13;48;83;1;27;86;17
62;27;16;33;48.48484848;10;30;33.33333333;26;63;41.26984127;14;18;77.77777778;13;24;37;14;17;20;13;9;4;6;86;76;71;5;40;81;1;28;76;17
63;31;19;29;65.51724138;8;25;32;27;54;50;22;31;70.96774194;8;20;28;16;24;28;12;2;1;0;83;84;95;-11;49;85;1;29;84;17
